Part,Qty,Price (USD),Link
MLX90640,1,26.93,"https://www.aliexpress.us/item/1005008180135795.html"
PowerBoost 1000 Charger,1,12.17,"https://www.aliexpress.com/item/1005009316907106.html"
2.0"" 320x240 Color IPS TFT Display,1,19.95,"https://www.adafruit.com/product/4311"
ESP32-S3-WROOM-1-N8R8,2,11.03,"https://lcsc.com/product-detail/WiFi-Modules_ESPRESSIF-ESP32-S3-WROOM-1-N8R8_C2913201.html"
AMS1117-3.3,5,0.87,"https://lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_Advanced-Monolithic-Systems-AMS1117-3-3_C6186.html"
PCB,1,6.16,
Total,,133.17,
