C1:1
C2:1
J1:1
J2:1
J3:1
J4:1
R1:1
R2:1
R3:1
R4:1
REF**:4
SW1:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
U2:1
U4:1
